layer,head,pooled_blk_r,pooled_imp_r,blk_r_p,blk_lo_p,blk_hi_p,blk_r_m,blk_lo_m,blk_hi_m,imp_r_p,imp_r_m,sd_blk_p,sd_blk_m,mu_blk_p,mu_blk_m,pass_blk_010,pass_imp_010,surv_blk_att01,surv_imp_att01
28,4,0.314551,0.331734,0.383487,0.279694,0.495932,0.037533,-0.075282,0.158832,0.352431,0.090928,0.008447,0.005839,-0.008056,-0.000970,False,False,True,True
0,13,-0.331030,0.307972,-0.341662,-0.430794,-0.256423,-0.141001,-0.222885,-0.054579,0.100350,0.297518,0.083960,0.083119,0.078731,0.071874,True,False,True,True
27,24,-0.328733,0.098991,-0.147346,-0.279939,-0.032888,-0.365793,-0.450294,-0.278652,0.093068,-0.176235,0.022308,0.022814,0.044842,0.044158,True,False,True,False
24,12,-0.028204,0.328444,0.139070,0.038147,0.243289,0.141382,0.016106,0.259545,0.214004,0.249592,0.008743,0.009071,0.005369,0.007353,True,True,False,True
11,28,-0.327818,-0.145015,-0.378348,-0.513803,-0.240432,-0.157703,-0.297452,-0.015500,-0.231587,0.140104,0.039196,0.038328,0.075538,0.081722,True,False,True,True
23,4,-0.325278,-0.005412,-0.334316,-0.443396,-0.223567,-0.151812,-0.265546,-0.034313,0.036115,-0.058287,0.024189,0.026479,0.036295,0.040417,True,False,True,False
30,23,0.312355,0.324702,0.143268,-0.017642,0.293505,0.280751,0.167077,0.390969,0.169792,0.284730,0.013473,0.014232,-0.024875,-0.023496,False,False,True,True
27,0,-0.250195,0.323846,-0.143808,-0.345714,0.037707,-0.119873,-0.220842,-0.016373,0.208507,0.251016,0.011316,0.013477,0.009150,0.011570,False,True,True,True
4,18,0.285772,0.323036,0.326390,0.198797,0.440581,0.201484,0.083967,0.328662,0.130041,0.345765,0.050818,0.049917,-0.247368,-0.238382,True,True,True,True
18,2,-0.322746,0.070711,-0.304252,-0.416852,-0.182632,-0.222536,-0.347117,-0.115152,0.034833,-0.235615,0.078666,0.071800,0.006403,0.050477,True,False,True,False
27,4,-0.321899,-0.127433,0.335940,0.207332,0.455553,-0.706327,-0.771578,-0.633668,0.618300,-0.794780,0.042932,0.067561,0.017606,-0.011739,False,False,True,False
